,,Unemployment Rate (percent),,,,,,,,,,,
FIPS ,Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,Median Household Income (2019),,% of State Median HH Income
48447,"Throckmorton County, TX",5.3,5.0,4.0,3.2,3.5,4.3,3.3,3.7,4.9,"$42,746",,66.7%
48449,"Titus County, TX",7.5,7.5,6.4,5.8,6.2,5.4,5.1,4.1,6.7,"$49,924",,78.0%
48451,"Tom Green County, TX",5.3,5.2,4.1,4.1,4.5,3.7,3.2,3.0,6.3,"$54,774",,85.5%
48453,"Travis County, TX",5.5,5.1,4.1,3.3,3.2,3.1,2.9,2.6,6.3,"$80,690",,126.0%
48455,"Trinity County, TX",8.2,7.5,6.1,5.9,6.1,5.6,5.2,4.8,8.1,"$43,788",,68.4%
48457,"Tyler County, TX",10.6,10.3,8.1,7.1,7.3,7.4,6.6,5.7,9.9,"$48,254",,75.3%
48459,"Upshur County, TX",6.7,6.4,5.2,5.3,6.4,5.3,4.2,3.7,7.7,"$53,078",,82.9%
48461,"Upton County, TX",4.0,4.2,3.3,3.9,5.3,3.7,3.4,3.0,5.6,"$58,908",,92.0%
48463,"Uvalde County, TX",7.9,7.1,5.8,5.1,5.3,4.7,4.3,3.8,6.4,"$44,690",,69.8%
48465,"Val Verde County, TX",7.6,7.5,5.8,6.0,6.3,5.1,3.9,3.3,7.9,"$45,034",,70.3%
48467,"Van Zandt County, TX",6.9,6.6,5.4,4.5,4.3,3.8,3.5,3.3,6.1,"$55,554",,86.7%
48469,"Victoria County, TX",5.6,5.4,4.2,4.2,5.4,4.9,3.9,3.5,8.3,"$57,344",,89.5%
48471,"Walker County, TX",6.9,6.7,5.5,5.1,5.3,4.7,4.2,3.9,7.2,"$47,519",,74.2%
48473,"Waller County, TX",7.0,6.5,5.2,4.8,5.6,4.9,4.3,3.7,7.8,"$61,822",,96.5%
48475,"Ward County, TX",4.8,4.7,3.6,4.3,5.7,4.1,2.6,2.4,9.4,"$61,396",,95.9%
48477,"Washington County, TX",5.6,5.5,4.7,4.8,5.1,4.2,3.6,3.4,5.6,"$59,039",,92.2%
48479,"Webb County, TX",6.4,6.2,5.2,4.8,4.9,4.2,3.8,3.7,8.5,"$52,576",,82.1%
48481,"Wharton County, TX",6.7,6.0,4.7,4.4,5.0,4.5,3.7,3.4,6.8,"$49,901",,77.9%
48483,"Wheeler County, TX",4.3,4.3,3.6,3.9,4.8,4.0,3.2,3.0,6.0,"$58,544",,91.4%
48485,"Wichita County, TX",6.0,5.9,4.9,4.3,4.4,3.7,3.4,3.2,6.7,"$51,535",,80.5%
48487,"Wilbarger County, TX",6.0,5.8,5.0,4.9,4.7,4.7,4.2,3.6,5.9,"$42,570",,66.5%
48489,"Willacy County, TX",15.7,15.9,12.5,13.1,12.3,11.1,9.9,8.2,12.0,"$35,821",,55.9%
48491,"Williamson County, TX",5.8,5.3,4.4,3.5,3.4,3.3,3.1,2.8,5.9,"$92,661",,144.7%
48493,"Wilson County, TX",5.5,5.3,4.2,3.8,3.9,3.5,3.1,2.8,5.7,"$76,905",,120.1%
48495,"Winkler County, TX",5.6,5.3,4.4,5.7,7.7,5.2,2.9,2.9,9.3,"$64,894",,101.3%
48497,"Wise County, TX",6.4,6.0,4.9,4.7,4.7,4.0,3.5,3.2,6.5,"$70,468",,110.0%
48499,"Wood County, TX",7.8,7.3,6.0,5.3,5.3,4.7,4.3,3.9,6.6,"$56,945",,88.9%
48501,"Yoakum County, TX",4.0,3.9,3.1,3.8,4.8,3.6,2.9,2.9,11.9,"$62,636",,97.8%
48503,"Young County, TX",5.7,5.2,4.1,4.3,4.4,3.8,3.2,3.0,5.3,"$52,643",,82.2%
48505,"Zapata County, TX",6.3,6.3,5.3,7.7,10.8,7.5,5.6,5.0,12.4,"$36,069",,56.3%
48507,"Zavala County, TX",13.4,14.6,12.3,11.3,13.9,11.3,9.7,8.4,14.1,"$32,538",,50.8%
