District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
MASON ISD,157901,H,Rural,43,Rural-Remote,N
MATAGORDA ISD,158904,H,Rural,43,Rural-Remote,N
MATHIS ISD,205904,G,Non-metropolitan Stable,32,Town-Distant,N
MAUD ISD,019903,H,Rural,42,Rural-Distant,N
MAY ISD,025905,H,Rural,43,Rural-Remote,N
MAYPEARL ISD,070915,D,Other Central City Suburban,42,Rural-Distant,N
MCALLEN ISD,108906,D,Other Central City Suburban,12,City-Midsize,N
MCCAMEY ISD,231901,H,Rural,43,Rural-Remote,N
MCDADE ISD,011905,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
MCGREGOR ISD,161909,G,Non-metropolitan Stable,31,Town-Fringe,N
MCKINNEY ISD,043907,D,Other Central City Suburban,22,Suburb-Midsize,N
