District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
FT SAM HOUSTON ISD,015914,G,Non-metropolitan Stable,11,City-Large,N
GAINESVILLE ISD,049901,E,Independent Town,41,Rural-Fringe,N
GALENA PARK ISD,101910,B,Major Suburban,21,Suburb-Large,N
GALVESTON ISD,084902,C,Other Central City,31,Town-Fringe,N
GANADO ISD,120902,H,Rural,42,Rural-Distant,N
GARLAND ISD,057909,B,Major Suburban,21,Suburb-Large,N
GARNER ISD,184911,H,Rural,42,Rural-Distant,N
GARRISON ISD,174903,H,Rural,43,Rural-Remote,N
GARY ISD,183904,H,Rural,42,Rural-Distant,N
GATESVILLE ISD,050902,D,Other Central City Suburban,32,Town-Distant,N
GATEWAY CHARTER ACADEMY,057831,I,Charter School Districts,11,City-Large,Y
GAUSE ISD,166902,H,Rural,42,Rural-Distant,N
GEORGE GERVIN ACADEMY,015802,I,Charter School Districts,11,City-Large,Y
GEORGE I SANCHEZ CHARTER,101804,I,Charter School Districts,11,City-Large,Y
GEORGE WEST ISD,149901,G,Non-metropolitan Stable,43,Rural-Remote,N
GEORGETOWN ISD,246904,C,Other Central City,13,City-Small,N
GHOLSON ISD,161925,H,Rural,42,Rural-Distant,N
GIDDINGS ISD,144901,G,Non-metropolitan Stable,41,Rural-Fringe,N
GILMER ISD,230902,D,Other Central City Suburban,41,Rural-Fringe,N
GLADEWATER ISD,092901,D,Other Central City Suburban,23,Suburb-Small,N
GLASSCOCK COUNTY ISD,087901,H,Rural,43,Rural-Remote,N
GLEN ROSE ISD,213901,G,Non-metropolitan Stable,42,Rural-Distant,N
GODLEY ISD,126911,B,Major Suburban,42,Rural-Distant,N
GOLD BURG ISD,169906,H,Rural,42,Rural-Distant,N
GOLDEN RULE CHARTER SCHOOL,057835,I,Charter School Districts,11,City-Large,Y
GOLDTHWAITE ISD,167901,H,Rural,43,Rural-Remote,N
GOLIAD ISD,088902,G,Non-metropolitan Stable,42,Rural-Distant,N
GONZALES ISD,089901,G,Non-metropolitan Stable,32,Town-Distant,N
GOODRICH ISD,187903,H,Rural,42,Rural-Distant,N
GOODWATER MONTESSORI SCHOOL,246802,I,Charter School Districts,13,City-Small,Y
GOOSE CREEK CISD,101911,B,Major Suburban,13,City-Small,N
GORDON ISD,182901,H,Rural,43,Rural-Remote,N
GORMAN ISD,067904,H,Rural,43,Rural-Remote,N
GRADY ISD,156905,H,Rural,42,Rural-Distant,N
GRAFORD ISD,182902,H,Rural,43,Rural-Remote,N
GRAHAM ISD,252901,G,Non-metropolitan Stable,33,Town-Remote,N
GRANBURY ISD,111901,D,Other Central City Suburban,32,Town-Distant,N
GRAND PRAIRIE ISD,057910,B,Major Suburban,21,Suburb-Large,N
GRAND SALINE ISD,234904,G,Non-metropolitan Stable,32,Town-Distant,N
GRANDFALLS-ROYALTY ISD,238904,H,Rural,43,Rural-Remote,N
GRANDVIEW ISD,126904,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
GRANDVIEW-HOPKINS ISD,090905,H,Rural,43,Rural-Remote,N
GRANGER ISD,246905,H,Rural,42,Rural-Distant,N
GRAPE CREEK ISD,226907,D,Other Central City Suburban,41,Rural-Fringe,N
GRAPELAND ISD,113902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
GRAPEVINE-COLLEYVILLE ISD,220906,B,Major Suburban,13,City-Small,N
GREAT HEARTS TEXAS,015835,I,Charter School Districts,11,City-Large,Y
GREENVILLE ISD,116905,E,Independent Town,32,Town-Distant,N
GREENWOOD ISD,165902,D,Other Central City Suburban,42,Rural-Distant,N
GREGORY-PORTLAND ISD,205902,D,Other Central City Suburban,21,Suburb-Large,N
GROESBECK ISD,147902,G,Non-metropolitan Stable,41,Rural-Fringe,N
GROOM ISD,033901,H,Rural,43,Rural-Remote,N
GROVETON ISD,228901,H,Rural,43,Rural-Remote,N
GRUVER ISD,098901,H,Rural,43,Rural-Remote,N
GUNTER ISD,091917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
