Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,02790,Pike County School District,"14,792","2,290",646
AL,01,00195,Pike Road City School District,"5,353","1,036",65
AL,01,02820,Randolph County School District,"16,836","2,502",591
AL,01,02850,Roanoke City School District,"6,084","1,039",317
AL,01,02880,Russell County School District,"26,543","4,384","1,008"
AL,01,02910,Russellville City School District,"9,760","1,766",410
AL,01,00185,Saraland City School District,"13,815","2,208",308
AL,01,00189,Satsuma City School District,"6,139","1,004",177
AL,01,02940,Scottsboro City School District,"14,313","2,061",395
AL,01,02970,Selma City School District,"17,090","3,023","1,305"
AL,01,03000,Sheffield City School District,"9,194","1,328",425
AL,01,03030,Shelby County School District,"134,187","23,156","1,854"
AL,01,03062,St. Clair County School District,"58,057","9,656","1,170"
AL,01,03090,Sumter County School District,"12,225","1,660",679
AL,01,03120,Sylacauga City School District,"12,438","1,972",433
AL,01,03150,Talladega City School District,"15,579","2,291",618
AL,01,03180,Talladega County School District,"47,920","7,164","1,474"
AL,01,03210,Tallapoosa County School District,"21,690","3,236",723
AL,01,03240,Tallassee City School District,"9,004","1,509",316
AL,01,03270,Tarrant City School District,"6,411","1,291",471
AL,01,03300,Thomasville City School District,"5,315",846,205
AL,01,03330,Troy City School District,"18,174","2,223",552
AL,01,00013,Trussville City School District,"19,910","3,869",221
AL,01,03360,Tuscaloosa City School District,"97,191","11,661","2,446"
AL,01,03390,Tuscaloosa County School District,"113,567","20,007","3,010"
AL,01,03420,Tuscumbia City School District,"8,724","1,270",275
AL,01,03430,Vestavia Hills City School District,"33,723","6,382",215
AL,01,03450,Walker County School District,"49,603","8,072","1,720"
AL,01,03480,Washington County School District,"15,976","2,474",548
